source_file,abspath,sha256,size_bytes,mtime,experiment,condition,requested_offset_deg,mesh_N,muscle_cols,q_cols,return_status,strict,success,iter_count,final_inf_pr,final_inf_du,final_obj,td_tilt_deg_signed,anterior_tilt_deg,achieved_offset_vs_nomN_deg,mean_tilt_deg,speed_mps,speed_error_pct_vs_nomN,totalTime_s,t0_s,tE_s,warm_start_source,error
pred_sprinting_data_23-July-2026__18-54-05___HamPareto_Nom_w1600.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__18-54-05___HamPareto_Nom_w1600.mat,32e89542be5fbf64158407d8aef9356ba5dfc76d295bd070da227514e380c2a2,4601986,2026-07-23T18:54:05,HamPareto,HamPareto_Nom_w1600,nan,50,151,200,Solve_Succeeded,True,True,258,2.9480972107975845e-08,1.2487596151931349e-06,-114.84818581165777,3.2456,-3.2456,11.1499,3.4054,11.555253,-2.4923,0.213756,0.056,0.26976,see_logs,
pred_sprinting_data_23-July-2026__19-06-02___HamPareto_Nom_w3200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__19-06-02___HamPareto_Nom_w3200.mat,117bd88e46dd20b2fdd399682bee8405303ec335726d1450da0723295b776318,4603336,2026-07-23T19:06:02,HamPareto,HamPareto_Nom_w3200,nan,50,151,200,Solve_Succeeded,True,True,229,3.188591782695515e-08,1.0180693034666563e-06,-114.43770385147421,3.2998,-3.2998,11.2041,3.3484,11.514365,-2.8373,0.214515,0.056,0.27051,see_logs,
pred_sprinting_data_23-July-2026__19-31-16___HamPareto_Sh_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__19-31-16___HamPareto_Sh_w0200.mat,aa65ed2ef8df106690b77ca3650d0f19187e703283f46f704a428e0d3a0bd819,4607631,2026-07-23T19:31:16,HamPareto,HamPareto_Sh_w0200,nan,50,151,200,Solve_Succeeded,True,True,456,2.63217822920121e-09,2.6837223908293384e-06,-100.18834431752109,7.5614,-7.5614,15.4657,7.414,10.997628,-7.1978,0.222215,0.056,0.27821,see_logs,
pred_sprinting_data_23-July-2026__19-57-46___HamPareto_Sh_w0800.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__19-57-46___HamPareto_Sh_w0800.mat,cd7567aa213d90cff5c98ffb8c963442bd9756eae1742068e76949ba9a6adf2f,4621136,2026-07-23T19:57:46,HamPareto,HamPareto_Sh_w0800,nan,50,151,200,Solve_Succeeded,True,True,538,2.0560327889236074e-08,1.0988281519127743e-06,-84.47421733813385,9.8385,-9.8385,17.7428,8.9951,9.976873,-15.8113,0.22127,0.056,0.27727,see_logs,
pred_sprinting_data_23-July-2026__20-27-27___HamPareto_Sh_w3200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__20-27-27___HamPareto_Sh_w3200.mat,837b419659d9a7133fbdb0d1e29f543612d64063bdc297265d9506bc6ffdac64,4607829,2026-07-23T20:27:27,HamPareto,HamPareto_Sh_w3200,nan,50,151,200,Solve_Succeeded,True,True,643,7.98214204465927e-09,8.123409897528764e-06,-56.6632966861578,9.9091,-9.9091,17.8134,9.6097,8.368375,-29.3844,0.197627,0.056,0.25363,see_logs,
pred_sprinting_data_23-July-2026__20-44-51___HamPareto_Wk_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__20-44-51___HamPareto_Wk_w0200.mat,370a350f6a3efbcd4f3483a2a04e477e96f4c83cf3fe4a300f451f278ebc5521,4603027,2026-07-23T20:44:51,HamPareto,HamPareto_Wk_w0200,nan,50,151,200,Solve_Succeeded,True,True,360,1.3746184946746326e-08,6.730765892096969e-07,-114.63822215327436,-1.8473,1.8473,6.057,-0.4036,11.542327,-2.6014,0.213995,0.056,0.26999,see_logs,
pred_sprinting_data_23-July-2026__21-03-14___HamPareto_Wk_w0800.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__21-03-14___HamPareto_Wk_w0800.mat,b742aa0d3125918e33fbf8e5ed0184ce95499accdd7a011530842be6c0eedea2,4613068,2026-07-23T21:03:14,HamPareto,HamPareto_Wk_w0800,nan,50,151,200,Solve_Succeeded,True,True,378,4.2454939605529596e-08,9.204077900052695e-07,-113.78160840119357,1.6631,-1.6631,9.5674,2.6869,11.444523,-3.4267,0.215824,0.056,0.27182,see_logs,
pred_sprinting_data_23-July-2026__21-19-39___HamPareto_Wk_w3200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_23-July-2026__21-19-39___HamPareto_Wk_w3200.mat,7f0be8df529bf6c3960d2f401e38d35ef5ed1be9d4eced9b1509454df0e2beb7,4607340,2026-07-23T21:19:39,HamPareto,HamPareto_Wk_w3200,nan,50,151,200,Solve_Succeeded,True,True,334,1.0161955568568198e-08,1.7811580040232628e-06,-112.93166243462831,2.223,-2.223,10.1273,2.668,11.365314,-4.0951,0.217328,0.056,0.27333,see_logs,
pred_sprinting_data_16-August-2026__14-01-10___HamPasv_w0200.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__14-01-10___HamPasv_w0200.mat,2febd340de571f70779b874c3f1e8463159f47b3c427dcbf1c9aa41ed423c36b,4791803,2026-08-16T14:01:10,HamPasv,HamPasv_w0200,nan,50,151,200,Solve_Succeeded,True,True,4884,3.235780895351369e-10,1.0946648688327525e-06,-117.6296025231479,-7.6848,7.6848,0.2195,-7.6296,11.773395,-0.6515,0.209795,0.056,0.2658,see_logs,
pred_sprinting_data_16-August-2026__14-27-20___HamPasv_w0800.mat,C:\Users\T11648sTb\Documents\VSCODE\Pred_Sim_Sprinting\Pred_Sim_Sprinting\Results\pred_sprinting_data_16-August-2026__14-27-20___HamPasv_w0800.mat,0aa37a2449b345fb80dab9b590b3224654c21dfab7198a75bd998327835ff182,4617759,2026-08-16T14:27:20,HamPasv,HamPasv_w0800,nan,50,151,200,Solve_Succeeded,True,True,606,1.5787250865141355e-08,2.7599263504047777e-06,-117.62914676058595,-7.6898,7.6898,0.2145,-7.642,11.773336,-0.652,0.209796,0.056,0.2658,see_logs,
