offset,source_file,sha256_16,solver_status,final_inf_pr,mesh_N,td_tilt_signed_deg,anterior_tilt_deg,speed_mps,contact_s,peakVGRF_BW,muscle,is_biarticular,peak_lMtilde,tPeak_pct_stride,peak_lMtilde_R,peak_lMtilde_L,bimean_peak_lMtilde,seam_gap_lMtilde,TS_peak_lMtilde
p0,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,e867eb10b0fb5dfb,Solve_Succeeded,1.299e-07,100,-7.987,7.987,11.792386,0.07363,5.8,semimem,True,0.99681,89.58,0.94248,0.99681,0.96964,2.33e-15,0.99681
p0,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,e867eb10b0fb5dfb,Solve_Succeeded,1.299e-07,100,-7.987,7.987,11.792386,0.07363,5.8,semiten,True,1.14170,87.08,1.08562,1.14170,1.11366,0.00e+00,1.14170
p0,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,e867eb10b0fb5dfb,Solve_Succeeded,1.299e-07,100,-7.987,7.987,11.792386,0.07363,5.8,bifemlh,True,1.05445,87.58,0.97751,1.05445,1.01598,2.78e-15,1.05445
p0,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,e867eb10b0fb5dfb,Solve_Succeeded,1.299e-07,100,-7.987,7.987,11.792386,0.07363,5.8,bifemsh,False,0.94288,2.32,0.94288,0.93952,0.94120,2.22e-16,0.93952
m2,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,b06776c23ff87c20,Solve_Succeeded,9.184e-08,100,-9.987,9.987,11.797841,0.07328,5.836,semimem,True,1.01704,89.58,0.96372,1.01704,0.99038,0.00e+00,1.01704
m2,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,b06776c23ff87c20,Solve_Succeeded,9.184e-08,100,-9.987,9.987,11.797841,0.07328,5.836,semiten,True,1.15309,87.32,1.09759,1.15309,1.12534,0.00e+00,1.15309
m2,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,b06776c23ff87c20,Solve_Succeeded,9.184e-08,100,-9.987,9.987,11.797841,0.07328,5.836,bifemlh,True,1.07215,87.82,0.99652,1.07215,1.03433,0.00e+00,1.07215
m2,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,b06776c23ff87c20,Solve_Succeeded,9.184e-08,100,-9.987,9.987,11.797841,0.07328,5.836,bifemsh,False,0.94270,2.32,0.94270,0.93933,0.94101,0.00e+00,0.93933
m4,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,f279404da2b85bac,Solve_Succeeded,5.499e-08,100,-11.987,11.987,11.796764,0.07361,5.811,semimem,True,1.02808,90.32,0.98169,1.02808,1.00489,3.89e-16,1.02808
m4,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,f279404da2b85bac,Solve_Succeeded,5.499e-08,100,-11.987,11.987,11.796764,0.07361,5.811,semiten,True,1.15908,87.82,1.10878,1.15908,1.13393,2.22e-16,1.15908
m4,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,f279404da2b85bac,Solve_Succeeded,5.499e-08,100,-11.987,11.987,11.796764,0.07361,5.811,bifemlh,True,1.08042,88.50,1.01364,1.08042,1.04703,4.44e-16,1.08042
m4,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,f279404da2b85bac,Solve_Succeeded,5.499e-08,100,-11.987,11.987,11.796764,0.07361,5.811,bifemsh,False,0.94227,2.32,0.94227,0.93919,0.94073,1.11e-16,0.93919
m6,pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat,98ef566bc467e57c,Solve_Succeeded,1.362e-08,100,-13.987,13.987,11.765964,0.0738,5.804,semimem,True,1.04983,90.32,1.00181,1.04983,1.02582,0.00e+00,1.04983
