source_file,experiment,condition,mesh_N,requested_offset_deg,return_status,strict,anterior_tilt_deg,speed_mps,final_inf_pr,adopted
pred_sprinting_data_05-June-2026__22-51-57___PelvisShift_m02.mat,PelvicShift,PelvisShift_m02,50,-2.0,Solved_To_Acceptable_Level,False,9.1988,11.50410,3.005e-03,
pred_sprinting_data_15-August-2026__13-46-07___PelvisShift_m02_athSh.mat,PelvicShift,PelvisShift_m02_athSh,50,-2.0,Solved_To_Acceptable_Level,False,9.7766,11.62685,5.962e-08,
pred_sprinting_data_05-June-2026__16-27-09___PelvisShift_p00.mat,PelvicShift,PelvisShift_p00,50,0.0,Solved_To_Acceptable_Level,False,7.4631,11.77739,6.751e-05,
pred_sprinting_data_06-June-2026__01-45-17___PelvisShift_p02.mat,PelvicShift,PelvisShift_p02,50,2.0,Solve_Succeeded,True,5.9573,11.77502,3.272e-08,
pred_sprinting_data_06-June-2026__02-36-44___PelvisShift_p04.mat,PelvicShift,PelvisShift_p04,50,4.0,Solved_To_Acceptable_Level,False,3.9321,11.76291,2.278e-06,
pred_sprinting_data_06-June-2026__03-43-20___PelvisShift_p06.mat,PelvicShift,PelvisShift_p06,50,6.0,Maximum_Iterations_Exceeded,False,1.9456,11.74859,1.901e-06,
pred_sprinting_data_24-June-2026__11-31-04___PelvisTD_m6.mat,PelvicTD_standard,PelvisTD_m6,50,-6.0,Infeasible_Problem_Detected,False,9.9156,9.60863,6.191e-02,
pred_sprinting_data_24-June-2026__14-51-19___PelvisTD_m6.mat,PelvicTD_standard,PelvisTD_m6,50,-6.0,Infeasible_Problem_Detected,False,9.9156,9.60863,6.191e-02,
pred_sprinting_data_24-June-2026__13-12-57___PelvisTD_m4.mat,PelvicTD_standard,PelvisTD_m4,50,-4.0,Infeasible_Problem_Detected,False,9.9156,9.16137,2.700e-02,
pred_sprinting_data_24-June-2026__13-05-45___PelvisTD_m2.mat,PelvicTD_standard,PelvisTD_m2,50,-2.0,Solve_Succeeded,True,9.4626,11.71864,5.965e-09,
